Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
03/30/2022,01/01/2020,03/26/2022,AK,Aleutians East Borough,2013,Noncore,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Anchorage Municipality,2020,Medium metro,657,5611,
03/30/2022,01/01/2020,03/26/2022,AK,Bethel Census Area,2050,Noncore,32,258,
03/30/2022,01/01/2020,03/26/2022,AK,Denali Borough,2068,Noncore,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Dillingham Census Area,2070,Noncore,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Fairbanks North Star Borough,2090,Small metro,162,1332,
03/30/2022,01/01/2020,03/26/2022,AK,Hoonah-Angoon Census Area,2105,Noncore,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Juneau City and Borough,2110,Micropolitan,13,391,
03/30/2022,01/01/2020,03/26/2022,AK,Kenai Peninsula Borough,2122,Noncore,72,935,
03/30/2022,01/01/2020,03/26/2022,AK,Ketchikan Gateway Borough,2130,Micropolitan,13,228,
03/30/2022,01/01/2020,03/26/2022,AK,Kodiak Island Borough,2150,Noncore,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Matanuska-Susitna Borough,2170,Medium metro,207,1631,
03/30/2022,01/01/2020,03/26/2022,AK,Nome Census Area,2180,Noncore,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,North Slope Borough,2185,Noncore,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Northwest Arctic Borough,2188,Noncore,,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/30/2022,01/01/2020,03/26/2022,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
