county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
American Samoa,60000,American Samoa,"47,392",901,American Samoa,"47,392",0.00,2.1,156.14,Low,2022-03-03
Guam,66000,Guam,"168,489",902,Guam,"168,489",15.20,38.6,833.88,High,2022-03-03
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,"51,851",903,Commonwealth of the Northern Mariana Islands,"51,851",7.20,9.6,"1,267.09",Medium,2022-03-03
United States Virgin Islands,78000,United States Virgin Islands,"106,290",905,United States Virgin Islands,"106,290",2.40,0.9,78.09,Low,2022-03-03
American Samoa,60000,American Samoa,"47,392",901,American Samoa,"47,392",0.90,19.0,434.67,High,2022-03-10
Guam,66000,Guam,"168,489",902,Guam,"168,489",13.70,77.2,450.47,High,2022-03-10
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,"51,851",903,Commonwealth of the Northern Mariana Islands,"51,851",8.30,3.9,779.16,Medium,2022-03-10
United States Virgin Islands,78000,United States Virgin Islands,"106,290",905,United States Virgin Islands,"106,290",1.40,0.0,31.99,Low,2022-03-10
American Samoa,60000,American Samoa,"47,392",901,American Samoa,"47,392",1.60,25.3,"2,561.61",high,2022-03-24
Guam,66000,Guam,"168,489",902,Guam,"168,489",9.00,,790.73,medium,2022-03-24
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,"51,851",903,Commonwealth of the Northern Mariana Islands,"51,851",6.90,5.8,22.58,low,2022-03-24
United States Virgin Islands,78000,United States Virgin Islands,"106,290",905,United States Virgin Islands,"106,290",1.00,1.9,213.07,medium,2022-03-24
American Samoa,60000,American Samoa,"47,392",901,American Samoa,"47,392",1.00,6.3,901.00,Medium,2022-03-17
Guam,66000,Guam,"168,489",902,Guam,"168,489",12.30,83.1,385.78,High,2022-03-17
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,"51,851",903,Commonwealth of the Northern Mariana Islands,"51,851",5.40,1.9,594.01,Medium,2022-03-17
United States Virgin Islands,78000,United States Virgin Islands,"106,290",905,United States Virgin Islands,"106,290",1.60,1.9,22.58,Low,2022-03-17
Geneva County,01061,Alabama,"26,271",162,"Houston (Dothan), AL - Dale, AL","277,857",11.9,20.9,140.84,High,2022-02-24
Greene County,01063,Alabama,"8,111",156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252,047",6.6,5.6,283.57,Medium,2022-02-24
Hale County,01065,Alabama,"14,651",156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252,047",6.6,5.6,409.53,Medium,2022-02-24
Henry County,01067,Alabama,"17,205",162,"Houston (Dothan), AL - Dale, AL","277,857",11.9,20.9,156.93,High,2022-02-24
